"numberOfVersionsUntil.","numberOfFixesUntil.","numberOfRefactoringsUntil.","numberOfAuthorsUntil.","linesAddedUntil.","maxLinesAddedUntil.","avgLinesAddedUntil.","linesRemovedUntil.","maxLinesRemovedUntil.","avgLinesRemovedUntil.","codeChurnUntil.","maxCodeChurnUntil.","avgCodeChurnUntil.","ageWithRespectTo.","weightedAgeWithRespectTo.","bugs"
12,1,0,6,12,1,1,12,1,1,0,0,0,244.714,95.4643,"true"
49,9,1,3,2311,644,47.1633,3683,2030,75.1633,-1372,218,-28,66,35.1323,"true"
32,4,0,10,424,58,13.25,238,51,7.4375,186,51,5.8125,368.143,168.949,"false"
2,0,0,2,2,1,1,2,1,1,0,0,0,23.1429,8.07143,"false"
2,1,0,1,2,1,1,2,1,1,0,0,0,325.857,39.7857,"false"
24,4,0,9,999,468,41.625,251,69,10.4583,748,420,31.1667,368.143,314.776,"false"
7,0,0,4,30,20,4.28571,19,9,2.71429,11,11,1.57143,242.143,32.4762,"false"
1,0,0,1,1,1,1,1,1,1,0,0,0,6.57143,0,"false"
14,2,0,7,134,36,9.57143,22,5,1.57143,112,33,8,242.143,50.0437,"true"
6,1,0,3,349,274,58.1667,283,274,47.1667,66,38,11,121.571,103.953,"false"
10,0,0,4,422,324,42.2,342,324,34.2,80,49,8,90.5714,15.8812,"false"
1,0,0,1,1,1,1,1,1,1,0,0,0,62.7143,0,"false"
5,0,0,3,5,1,1,5,1,1,0,0,0,250.143,13.9429,"false"
6,1,0,4,14,6,2.33333,13,6,2.16667,1,2,0.166667,180.143,57.3265,"false"
3,1,0,2,3,1,1,3,1,1,0,0,0,307.429,40.4286,"false"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"false"
36,4,0,11,291,39,8.08333,297,51,8.25,-6,39,-0.166667,368.143,164.852,"false"
2,0,0,1,2,1,1,2,1,1,0,0,0,179.286,15.2143,"false"
1,0,0,1,1,1,1,1,1,1,0,0,0,219.286,0,"false"
1,0,0,1,1,1,1,1,1,1,0,0,0,30.8571,0,"true"
3,0,0,2,76,42,25.3333,45,42,15,31,31,10.3333,90.5714,10.3929,"false"
8,1,0,5,79,26,9.875,119,51,14.875,-40,1,-5,368.143,137.492,"false"
18,3,0,8,322,120,17.8889,269,82,14.9444,53,38,2.94444,368.143,125.349,"false"
9,1,0,4,83,32,9.22222,72,29,8,11,32,1.22222,216.286,70.0826,"false"
10,0,0,6,84,27,8.4,107,51,10.7,-23,9,-2.3,349.857,198.361,"true"
4,0,0,3,52,48,13,60,48,15,-8,0,-2,90.5714,11.467,"false"
3,0,0,3,8,6,2.66667,7,5,2.33333,1,1,0.333333,170.143,73.4286,"false"
2,0,0,1,17,16,8.5,2,1,1,15,15,7.5,136.571,45.042,"false"
22,3,0,6,241,45,10.9545,128,51,5.81818,113,45,5.13636,368.143,217.232,"true"
2,0,0,2,2,1,1,4,3,2,-2,0,-1,53.1429,24.9286,"false"
7,1,0,2,37,16,5.28571,26,12,3.71429,11,15,1.57143,136.571,35.1892,"false"
2,0,1,1,3,2,1.5,11,10,5.5,-8,0,-4,11.7143,3.14286,"true"
3,0,0,3,9,8,3,15,13,5,-6,0,-2,180.286,154.032,"false"
1,0,0,1,1,1,1,1,1,1,0,0,0,6.57143,0,"false"
11,2,0,7,108,26,9.81818,22,8,2,86,22,7.81818,244.714,113.093,"false"
3,0,0,2,82,43,27.3333,46,43,15.3333,36,36,12,90.5714,10.3537,"false"
1,0,1,1,1,1,1,1,1,1,0,0,0,11.7143,0,"false"
3,0,0,3,7,6,2.33333,8,5,2.66667,-1,1,-0.333333,190,95.7143,"false"
9,2,0,2,60,29,6.66667,4,1,0.444444,56,28,6.22222,136.571,69.35,"false"
1,0,0,1,1,1,1,1,1,1,0,0,0,20.7143,0,"false"
3,0,0,2,18,16,6,5,3,1.66667,13,15,4.33333,136,49.4048,"false"
3,0,0,2,1,1,0.333333,2,1,0.666667,-1,0,-0.333333,99,0,"false"
22,4,1,7,413,118,18.7727,138,23,6.27273,275,113,12.5,177.857,87.8565,"false"
1,0,0,1,1,1,1,1,1,1,0,0,0,34.2857,0,"false"
1,0,0,1,1,1,1,1,1,1,0,0,0,20.7143,0,"false"
4,1,0,2,13,6,3.25,9,5,2.25,4,4,1,110.143,13.7802,"false"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"false"
12,1,0,7,69,17,5.75,67,51,5.58333,2,17,0.166667,368.143,208.59,"false"
9,2,0,6,59,16,6.55556,61,51,6.77778,-2,14,-0.222222,262.857,104.37,"false"
95,19,2,13,1990,132,20.9474,1099,202,11.5684,891,98,9.37895,368.143,207.691,"true"
2,0,0,2,2,1,1,2,1,1,0,0,0,245.286,25.0714,"false"
