"numberOfVersionsUntil.","numberOfFixesUntil.","numberOfRefactoringsUntil.","numberOfAuthorsUntil.","linesAddedUntil.","maxLinesAddedUntil.","avgLinesAddedUntil.","linesRemovedUntil.","maxLinesRemovedUntil.","avgLinesRemovedUntil.","codeChurnUntil.","maxCodeChurnUntil.","avgCodeChurnUntil.","ageWithRespectTo.","weightedAgeWithRespectTo.","bugs"
2,0,0,1,10,10,5,0,0,0,10,10,5,40.8571,3.14286,"false"
18,4,1,7,1431,532,79.5,1131,552,62.8333,300,394,16.6667,239.143,37.3797,"false"
14,1,0,4,342,130,24.4286,337,123,24.0714,5,8,0.357143,239.143,70.6278,"true"
4,0,0,2,3,3,0.75,49,44,12.25,-46,0,-11.5,178.857,4.57143,"false"
1,0,0,1,0,0,0,0,0,0,0,0,0,19.1429,0,"false"
1,0,0,1,0,0,0,0,0,0,0,0,0,85.1429,0,"false"
14,4,1,2,195,82,13.9286,97,73,6.92857,98,27,7,178.857,23.8447,"false"
7,1,0,3,211,95,30.1429,88,43,12.5714,123,95,17.5714,180,2.52539,"false"
11,2,0,5,102,31,9.27273,83,40,7.54545,19,27,1.72727,237.714,59.7899,"true"
7,0,0,3,100,42,14.2857,15,7,2.14286,85,38,12.1429,180,30.1943,"false"
13,1,0,4,1117,492,85.9231,1187,520,91.3077,-70,8,-5.38462,239.143,62.685,"true"
3,0,1,2,1,1,0.333333,1,1,0.333333,0,0,0,127.143,10.4286,"false"
1,0,0,1,0,0,0,0,0,0,0,0,0,42,0,"false"
1,0,0,1,0,0,0,0,0,0,0,0,0,19.1429,0,"false"
10,0,0,5,206,169,20.6,83,36,8.3,123,133,12.3,239.143,68.6332,"false"
1,0,0,1,0,0,0,0,0,0,0,0,0,19.1429,0,"false"
44,3,0,3,2587,2021,58.7955,2332,2011,53,255,65,5.79545,81.1429,32.9348,"true"
1,0,0,1,0,0,0,0,0,0,0,0,0,53,0,"false"
8,0,0,1,499,237,62.375,19,10,2.375,480,237,60,125.857,3.11451,"false"
9,1,1,6,74,49,8.22222,102,50,11.3333,-28,0,-3.11111,239.143,12.5,"false"
2,0,0,1,7,7,3.5,1,1,0.5,6,6,3,81,14,"true"
1,0,0,1,0,0,0,0,0,0,0,0,0,39.7143,0,"false"
7,0,0,1,123,55,17.5714,23,10,3.28571,100,54,14.2857,162.143,40.2032,"false"
